text,audio_path,label
في الوقت هو أكبر أسد ليس الأشخاص الذين يقولون أنهم يفعلون الأرر لا، لا يفعلون الأرر حتى يشرفون يفعلون الأرر، حسناً، ولكن ليس هناك أرر لا تقتلوه,Darija-MSA/Audio/00000004.wav,1
كنت أنا أولاً هو الـ PDG ديال هذاك الـ Investment Bank فرنال أخبرتني بأنه يجب أن أقرر لها الانتباه للأمريكا,Darija-MSA/Audio/00000007.wav,2
أخبرتني بأنه يجب أن أقرر لها Fintech بعد ثلاث سنوات أصبحت رئيسة قسمة Fintech,Darija-MSA/Audio/00000009.wav,2
معنا اليوم و الذي شرفنا للا غذيجة خرتيج ندرس صفقات بين أمريكا و الشرق أوسط أمريكا و المغرب,Darija-MSA/Audio/00000011.wav,0
شكراً للا غذيجة سيدي عبد الرزاق,Darija-MSA/Audio/00000015.wav,0
سيدي عبد الرزاق دمت عليك كل شيء بخير حطيت رجلك في المغرب شدينك,Darija-MSA/Audio/00000016.wav,0
حطيت رجلك في المغرب شدينك من بوستان لكازا و نهار سعيد هذا,Darija-MSA/Audio/00000017.wav,0
بلا بيسو للا غذيجة وش خبارك احنا قليل فيك نجيبو لفم أنتروبرونو زمانة,Darija-MSA/Audio/00000020.wav,2
وش خبارك احنا قليل فيك نجيبو لفم أنتروبرونو زمانة لما فخباريش و أنا كني في العالم كاملة دي عادي,Darija-MSA/Audio/00000021.wav,0
لما فخباريش و أنا كني في العالم كاملة دي عادي الله يلحم لك الوالدي دوكراهو مقلال في المغش,Darija-MSA/Audio/00000022.wav,0
ولكن هو مقلال هذا انفت هذا واقع لما عليكم,Darija-MSA/Audio/00000026.wav,2
ألو شكون اختي خديجة خوي عبد الرزاق أنا خديجة خرتيت,Darija-MSA/Audio/00000028.wav,0
أنا خديجة خرتيت زادت في مراكش في المدينة القديمة شيتمشي,Darija-MSA/Audio/00000029.wav,0
لميتة ولكن السعادة بزاف والحرية والثقة,Darija-MSA/Audio/00000033.wav,0
بزاف تحتشجيعات العائلة ديما نشطة وديما فرحانة بدك شريكة ندير وكان بغين تليزي,Darija-MSA/Audio/00000035.wav,0
وكان بغين تليزي ندير بزاف تلحواج بزاف أنا كنت,Darija-MSA/Audio/00000036.wav,2
أنا كنت بغنان بحية بون فيفانت بون فيفانت وعندي لامو وعندي تل المواهب,Darija-MSA/Audio/00000037.wav,2
وعندي تل المواهب الحمد لله كنعرف نغني كنعرف نطرز,Darija-MSA/Audio/00000038.wav,0
كنعرف نطرز كنعرف ندير الحلوة أختيش كنقرأ لا كنقرأ بزاف,Darija-MSA/Audio/00000039.wav,0
لا كنقرأ بزاف وكن ونتمرك الله كن إكسل تن إكسلي يعني في الماتي أخ,Darija-MSA/Audio/00000040.wav,0
يعني في الماتي أخ كنت كل شي تنجي فيه مزيانتي بده أقول يا دراري كتطلعين لاموين,Darija-MSA/Audio/00000041.wav,0
كتطلعين لاموين نقصي شي شوية وحد ساق وتنعقل واحد الوستاد,Darija-MSA/Audio/00000042.wav,0
واحد الوستاد قل يا أختي شفين غاديا ستاش وكنها بتطلع 11,Darija-MSA/Audio/00000043.wav,0
وكنها بتطلع 11 أديري 12 وخليك مع الدراري دوك خليتي في الدولة,Darija-MSA/Audio/00000044.wav,0
دوك خليتي في الدولة خليت في الدولة خليت في الدولة وكلها مسيرتي في الدولة,Darija-MSA/Audio/00000045.wav,2
وكلها مسيرتي في الدولة وغادي نجيو لها اللي هو اللي هو غادي يدور وغادي نجيو,Darija-MSA/Audio/00000046.wav,2
وغادي نجيو ندرو كل ذاك الشي ألوغ الباك خديتيه في المغرب خديته في المغرب,Darija-MSA/Audio/00000047.wav,2
خديته في المغرب في سحنون في مراكش دكاو ومورها مورها كان عندي غادي ندير واحد ديكليك,Darija-MSA/Audio/00000048.wav,2
غادي ندير واحد ديكليك هنا يرد نشرح لأنه كان واحد المساج,Darija-MSA/Audio/00000049.wav,2
المساج بغادي ندوس فاش باش خديت الباك,Darija-MSA/Audio/00000050.wav,2
باش خديت الباك كانت عندي أسابيع كان عندي واحدة موين ما عفت ما ندير بها ما كانش توجيه,Darija-MSA/Audio/00000051.wav,2
ما كانش توجيه وأنا نمشي للجامعة درت فيزيك شمي,Darija-MSA/Audio/00000052.wav,2
درت فيزيك شمي وباي دوي كانت تم التعريب يعني أنا خديت الباك بالعربية,Darija-MSA/Audio/00000053.wav,2
الفيزياء كيمياء بالفرنساوية والحمد لله كنت نقرأ الفرنساوية ونجري ديك ساعة,Darija-MSA/Audio/00000055.wav,2
ونجري ديك ساعة من نمشي جيت لتخوازيين في 3600 طالب,Darija-MSA/Audio/00000056.wav,2
في 3600 طالب فيزيك شمي بسيئا وفي نفس الوقت الأرقام ديولي مزيانين,Darija-MSA/Audio/00000057.wav,2
الأرقام ديولي مزيانين يعني لموين مشيت كنعم في الكوكب,Darija-MSA/Audio/00000058.wav,2
في الصف أنا أولى دخلتي ودكشي واحد سيد صاحبهم,Darija-MSA/Audio/00000059.wav,2
واحد سيد صاحبهم قال لي خدي قلو لها تتقرأ قراية قال لي شنو قراية قلت له هاللي,Darija-MSA/Audio/00000060.wav,2
قلت له هاللي قلت لي شلسكاو قلت له أنا ما تنعرفش لسكاو ما عرفش ما وجنيتش,Darija-MSA/Audio/00000061.wav,2
إيوة وعوني حطيت للابليكاسيون ديالي في دك الصف,Darija-MSA/Audio/00000063.wav,2
في دك الصف داروني في لاليست دا طنط,Darija-MSA/Audio/00000064.wav,2
ديال بيس سي عتاع فيزيك شيمي قلت لها ماما عشبتني الاسكاو,Darija-MSA/Audio/00000071.wav,2
